127.0.0.1 - - [14/May/2018:08:47:28 -0400] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [14/May/2018:08:47:28 -0400] "GET /web-customer-tracker/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2018:08:47:29 -0400] "GET /web-customer-tracker/customer/list HTTP/1.1" 200 2366
0:0:0:0:0:0:0:1 - - [14/May/2018:08:47:29 -0400] "GET /web-customer-tracker/resources/css/style.css HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [14/May/2018:08:47:41 -0400] "POST /web-customer-tracker/customer/search HTTP/1.1" 200 1773
0:0:0:0:0:0:0:1 - - [14/May/2018:08:47:50 -0400] "GET /web-customer-tracker/customer/showFormForAdd HTTP/1.1" 200 1534
0:0:0:0:0:0:0:1 - - [14/May/2018:08:47:50 -0400] "GET /web-customer-tracker/resources/css/add-customer-style.css HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [14/May/2018:08:48:08 -0400] "POST /web-customer-tracker/customer/saveCustomer HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2018:08:48:08 -0400] "GET /web-customer-tracker/customer/list HTTP/1.1" 200 2965
0:0:0:0:0:0:0:1 - - [14/May/2018:08:48:10 -0400] "GET /web-customer-tracker/customer/showFormForAdd HTTP/1.1" 200 1534
0:0:0:0:0:0:0:1 - - [14/May/2018:08:48:23 -0400] "POST /web-customer-tracker/customer/saveCustomer HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2018:08:48:23 -0400] "GET /web-customer-tracker/customer/list HTTP/1.1" 200 3557
0:0:0:0:0:0:0:1 - - [14/May/2018:08:48:28 -0400] "POST /web-customer-tracker/customer/search HTTP/1.1" 200 2964
0:0:0:0:0:0:0:1 - - [14/May/2018:08:48:31 -0400] "POST /web-customer-tracker/customer/search HTTP/1.1" 200 3557
0:0:0:0:0:0:0:1 - - [14/May/2018:08:48:35 -0400] "GET /web-customer-tracker/customer/showFormForAdd HTTP/1.1" 200 1534
0:0:0:0:0:0:0:1 - - [14/May/2018:08:48:53 -0400] "POST /web-customer-tracker/customer/saveCustomer HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2018:08:48:53 -0400] "GET /web-customer-tracker/customer/list HTTP/1.1" 200 4151
0:0:0:0:0:0:0:1 - - [14/May/2018:08:48:58 -0400] "POST /web-customer-tracker/customer/search HTTP/1.1" 200 3557
0:0:0:0:0:0:0:1 - - [14/May/2018:08:49:03 -0400] "POST /web-customer-tracker/customer/search HTTP/1.1" 200 1771
0:0:0:0:0:0:0:1 - - [14/May/2018:08:49:09 -0400] "GET /web-customer-tracker/customer/delete?customerId=8 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2018:08:49:09 -0400] "GET /web-customer-tracker/customer/list HTTP/1.1" 200 3559
0:0:0:0:0:0:0:1 - - [14/May/2018:08:49:15 -0400] "GET /web-customer-tracker/customer/delete?customerId=7 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2018:08:49:15 -0400] "GET /web-customer-tracker/customer/list HTTP/1.1" 200 2960
0:0:0:0:0:0:0:1 - - [14/May/2018:08:49:36 -0400] "GET /web-customer-tracker/customer/list HTTP/1.1" 200 2960
0:0:0:0:0:0:0:1 - - [14/May/2018:08:49:37 -0400] "GET /web-customer-tracker/resources/css/style.css HTTP/1.1" 304 -
