127.0.0.1 - - [12/Jul/2018:15:08:18 -0400] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [12/Jul/2018:15:08:18 -0400] "GET /spring-crm-rest/ HTTP/1.1" 200 68
0:0:0:0:0:0:0:1 - - [12/Jul/2018:15:08:27 -0400] "GET /spring-crm-rest/api/customers HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [12/Jul/2018:15:08:51 -0400] "GET /spring-crm-rest/api/customers HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [12/Jul/2018:15:08:51 -0400] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [12/Jul/2018:15:09:16 -0400] "GET /spring-crm-rest/api/customers HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [12/Jul/2018:15:10:36 -0400] "GET /spring-crm-rest/ HTTP/1.1" 200 68
0:0:0:0:0:0:0:1 - - [12/Jul/2018:15:11:54 -0400] "GET /spring-crm-rest/ HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [12/Jul/2018:15:11:55 -0400] "GET /spring-crm-rest/api/customers HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [12/Jul/2018:15:16:20 -0400] "GET /spring-crm-rest/ HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [12/Jul/2018:15:16:21 -0400] "GET /spring-crm-rest/ HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [12/Jul/2018:15:16:33 -0400] "GET /spring-crm-rest/api/customer/1 HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [12/Jul/2018:15:17:15 -0400] "GET /spring-crm-rest/api/customer/3 HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [12/Jul/2018:15:17:20 -0400] "GET /spring-crm-rest/api/customer/7 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Jul/2018:15:17:25 -0400] "GET /spring-crm-rest/api/customer/5 HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [12/Jul/2018:15:17:54 -0400] "GET /spring-crm-rest/api/customer/5 HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [12/Jul/2018:15:18:25 -0400] "GET /spring-crm-rest/api/customer/4 HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [12/Jul/2018:15:19:06 -0400] "GET /spring-crm-rest/api/customer/9 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Jul/2018:15:20:56 -0400] "GET /spring-crm-rest/api/customer/asdf HTTP/1.1" 400 1126
0:0:0:0:0:0:0:1 - - [12/Jul/2018:15:21:06 -0400] "GET /spring-crm-rest/api/customer/asdf HTTP/1.1" 400 1126
0:0:0:0:0:0:0:1 - - [12/Jul/2018:15:38:21 -0400] "GET /spring-crm-rest/api/customer/asdf HTTP/1.1" 400 218
0:0:0:0:0:0:0:1 - - [12/Jul/2018:15:38:30 -0400] "GET /spring-crm-rest/api/customer/999 HTTP/1.1" 404 91
0:0:0:0:0:0:0:1 - - [12/Jul/2018:15:38:38 -0400] "GET /spring-crm-rest/api/customer/asdf HTTP/1.1" 400 218
0:0:0:0:0:0:0:1 - - [12/Jul/2018:15:38:45 -0400] "GET /spring-crm-rest/api/customer/7 HTTP/1.1" 404 89
0:0:0:0:0:0:0:1 - - [12/Jul/2018:15:55:31 -0400] "POST /spring-crm-rest/api/customers HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [12/Jul/2018:15:55:54 -0400] "GET /spring-crm-rest/api/customers HTTP/1.1" 200 467
0:0:0:0:0:0:0:1 - - [12/Jul/2018:15:56:33 -0400] "GET /spring-crm-rest/api/customer/6 HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [12/Jul/2018:15:57:25 -0400] "POST /spring-crm-rest/api/customers HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [12/Jul/2018:15:57:50 -0400] "GET /spring-crm-rest/api/customer/7 HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [12/Jul/2018:16:05:04 -0400] "PUT /spring-crm-rest/api/customer HTTP/1.1" 200 85
0:0:0:0:0:0:0:1 - - [12/Jul/2018:16:05:11 -0400] "GET /spring-crm-rest/api/customer/1 HTTP/1.1" 200 85
0:0:0:0:0:0:0:1 - - [12/Jul/2018:16:14:00 -0400] "DELETE /spring-crm-rest/api/customers/1 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [12/Jul/2018:16:14:16 -0400] "GET /spring-crm-rest/api/customers/ HTTP/1.1" 200 466
0:0:0:0:0:0:0:1 - - [12/Jul/2018:16:14:40 -0400] "DELETE /spring-crm-rest/api/customers/7 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [12/Jul/2018:16:14:48 -0400] "GET /spring-crm-rest/api/customers/ HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [12/Jul/2018:16:15:08 -0400] "DELETE /spring-crm-rest/api/customers/7 HTTP/1.1" 404 89
0:0:0:0:0:0:0:1 - - [12/Jul/2018:16:15:16 -0400] "DELETE /spring-crm-rest/api/customers/asdf HTTP/1.1" 400 218
